#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:P74565	uniprotkb:P73944	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1609121	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p73944_syny3(display_long)|uniprotkb:sll1424(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1617456	author score:A|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	interpro:IPR021435|go:GO:0016021(integral component of membrane)	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:dMCSoS9mfUHBH4uQ3nmgBpS8y7U1111708	intact-crc:1569456EDE6BBA2F|rigid:Nfuboynp8k/mFqWnvr88f/U/22M	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74045	uniprotkb:P74565	intact:EBI-1617904	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:coax_syny3(display_long)|uniprotkb:coaX(gene name)|psi-mi:coaX(display_short)|uniprotkb:PanK-III(gene name synonym)|uniprotkb:Pantothenic acid kinase(gene name synonym)|uniprotkb:slr0812(locus name)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1617912	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR004619(Bordetella pertussis Bvg accessory factor)|go:GO:0005737(cytoplasm)|go:GO:0005524(ATP binding)|go:GO:0046872(metal ion binding)|go:GO:0004594(pantothenate kinase activity)|go:GO:0015937(coenzyme A biosynthetic process)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:NtqFEHkmeaK+ZD0Ra/mSmyDY5zA1111708	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:59148FD4092818A4|rigid:eIBgEI4xuM4QflVPBak+pdQ1te4	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P74299	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1619110	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:capp_syny3(display_long)|uniprotkb:ppc(gene name)|psi-mi:ppc(display_short)|uniprotkb:sll0920(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1619123	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	interpro:IPR021135|interpro:IPR018129|interpro:IPR022805|interpro:IPR015813(Pyruvate/Phosphoenolpyruvate kinase, catalytic core)|go:GO:0008964(phosphoenolpyruvate carboxylase activity)|go:GO:0015977(carbon fixation)|go:GO:0006099(tricarboxylic acid cycle)|go:GO:0005829(cytosol)|interpro:IPR033129|dip:DIP-48802N	-	-	crc64:76DF6061BAB7235D	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:syUXjolm6UGwryPn5ok26x21WWY1111708	intact-crc:33BB495581A23009|rigid:1gij6OAv2p1hLmU7AfqHRIEz1Dw	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P74317	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1619249	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p74317_syny3(display_long)|uniprotkb:sll0912(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1619258	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	interpro:IPR032524|interpro:IPR003439(ABC transporter-like)|interpro:IPR017871|interpro:IPR003593(AAA+ ATPase, core)|go:GO:0005524(ATP binding)|go:GO:0016887(ATPase activity)|interpro:IPR027417|go:GO:0004832(valine-tRNA ligase activity)|go:GO:0005737(cytoplasm)|go:GO:0006438(valyl-tRNA aminoacylation)|go:GO:0003677(DNA binding)|interpro:IPR032781|interpro:IPR037118	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:zDgTHijUyUFftkkojYuCdpjGIQw1111708	intact-crc:5C42BF7F1E8A928E|rigid:0oIuzTBczsXld195rg1eKR4yDh4	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P74452	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1610662	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p74452_syny3(display_long)|uniprotkb:sll0149(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1620321	author score:D|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:0sL09naixqt5nWoxukIqwPYPeXs1111708	intact-crc:0D862F2CEBF37514|rigid:sGJbyTHiyCiDCnYkmXhATA5S/0U	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74454	uniprotkb:P74565	intact:EBI-1620393	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:p74454_syny3(display_long)|uniprotkb:sll0147(locus name)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1620400	author score:B|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR036188	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:gnD6SZE3y0DyrAaqhm1UV0q3Fp01111708	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:44A46F550C6D0CF4|rigid:xrCslBXoSjG17X2bzhFnCfz4k7E	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
intact:EBI-1620154	uniprotkb:P74565	intact:EBI-1579098	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:ebi1579098(display_short)|psi-mi:EBI-1620154(display_long)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1142(9sync)|taxid:1142(Synechocystis)	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1621054	author score:A|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	-	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	-	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:9330D23E70033539	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P72656	uniprotkb:P74565	intact:EBI-1609454	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:rne_syny3(display_long)|uniprotkb:rne(gene name)|psi-mi:rne(display_short)|uniprotkb:slr1129(locus name)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1621062	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	go:GO:0004519(endonuclease activity)|go:GO:0004540(ribonuclease activity)|go:GO:0003723(RNA binding)|interpro:IPR012340(Nucleic acid-binding, OB-fold)|interpro:IPR003029(S1, RNA binding)|interpro:IPR019307|interpro:IPR022967|interpro:IPR004659(Ribonuclease E and G)|go:GO:0046872(metal ion binding)|go:GO:0005737(cytoplasm)|go:GO:0006364(rRNA processing)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:gs1QIog5ygnFsu0dn1/G2m6gk341111708	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:6A841BD8C921F53D|rigid:0CGPFyfGTuz572N2FnDZXRNd84c	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P26533	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-595464|intact:EBI-1609295	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:atpe_syny3(display_long)|uniprotkb:ATP synthase F1 sector epsilon subunit(gene name synonym)|uniprotkb:atpC(gene name)|psi-mi:atpC(display_short)|uniprotkb:atpE(gene name synonym)|uniprotkb:slr1330(locus name)|uniprotkb:F-ATPase epsilon subunit(gene name synonym)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1621058	author score:A|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	go:GO:0015986(ATP synthesis coupled proton transport)|go:GO:0045260(plasma membrane proton-transporting ATP synthase complex)|go:GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))|go:GO:0042651(thylakoid membrane)|go:GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)|interpro:IPR001469(ATPase, F1 complex, delta/epsilon subunit)|interpro:IPR020547|interpro:IPR020546|interpro:IPR036771	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:iLucu1CkfyKJGLOC/q5z1e6ROPQ1111708	intact-crc:A3A36FF4FC5F9C9B|rigid:fFlEbWjgpnC54eEBRbzOZgaesI8	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P73020	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1611912	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p73020_syny3(display_long)|uniprotkb:chlH(gene name)|psi-mi:chlH(display_short)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1621066	author score:B|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	interpro:IPR011771(Magnesium-chelatase, subunit H)|interpro:IPR003672(CobN/magnesium chelatase)|interpro:IPR022571|go:GO:0016851(magnesium chelatase activity)|go:GO:0015995(chlorophyll biosynthetic process)|rcsb pdb:4ZHJ|dip:DIP-48797N	-	-	crc64:DD58A4693295F1E5	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:aBYFShM0hZ/41U5S0x3L9rRqj0M1111708	intact-crc:F028E32AD220A47F|rigid:kIugb+ZKGGs6qSEQCOJUkAdaKJg	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
